Date,AAPL,AMZN,HD,IBM,KO,MSFT,WMT,ADBE,COST,BA
20130131,123548.9887,9745.9929,17776.9844,1054.391,33173.0318,78943.6104,76342.961,6724.634307,10832.99563,14875.0095
20130228,123548.9887,9745.9929,17776.9844,1054.391,33173.0318,78943.6104,76342.961,6724.634307,10832.99563,14875.0095
20130328,123548.9887,9745.9929,17776.9844,1054.391,33173.0318,78943.6104,76342.961,6724.634307,10832.99563,14875.0095
20130430,123548.9887,9745.9929,17776.9844,1054.391,33173.0318,78943.6104,76342.961,6724.634307,10832.99563,14875.0095
20130531,123548.9887,9745.9929,17776.9844,1054.391,33173.0318,78943.6104,76342.961,6724.634307,10832.99563,14875.0095
20130628,123548.9887,9745.9929,17776.9844,1054.391,33173.0318,78943.6104,76342.961,6724.634307,10832.99563,14875.0095
20130731,123548.9887,9745.9929,17776.9844,1054.391,33173.0318,78943.6104,76342.961,6724.634307,10832.99563,14875.0095
20130830,123548.9887,9745.9929,17776.9844,1054.391,33173.0318,78943.6104,76342.961,6724.634307,10832.99563,14875.0095
20130930,123548.9887,9745.9929,17776.9844,1054.391,33173.0318,78943.6104,76342.961,6724.634307,10832.99563,14875.0095
20131031,123548.9887,9745.9929,17776.9844,1054.391,33173.0318,78943.6104,76342.961,6724.634307,10832.99563,14875.0095
20131129,123548.9887,9745.9929,17776.9844,1054.391,33173.0318,78943.6104,76342.961,6724.634307,10832.99563,14875.0095
20131231,123548.9887,9745.9929,17776.9844,1054.391,33173.0318,78943.6104,76342.961,6724.634307,10832.99563,14875.0095
20140131,111546.8113,10740.9885,12521.982,990.524,30320.1236,89783.6786,76255.1545,6775.881325,12303.00652,8664.97999
20140228,111546.8113,10740.9885,12521.982,990.524,30320.1236,89783.6786,76255.1545,6775.881325,12303.00652,8664.97999
20140331,111546.8113,10740.9885,12521.982,990.524,30320.1236,89783.6786,76255.1545,6775.881325,12303.00652,8664.97999
20140430,111546.8113,10740.9885,12521.982,990.524,30320.1236,89783.6786,76255.1545,6775.881325,12303.00652,8664.97999
20140530,111546.8113,10740.9885,12521.982,990.524,30320.1236,89783.6786,76255.1545,6775.881325,12303.00652,8664.97999
20140630,111546.8113,10740.9885,12521.982,990.524,30320.1236,89783.6786,76255.1545,6775.881325,12303.00652,8664.97999
20140731,111546.8113,10740.9885,12521.982,990.524,30320.1236,89783.6786,76255.1545,6775.881325,12303.00652,8664.97999
20140829,111546.8113,10740.9885,12521.982,990.524,30320.1236,89783.6786,76255.1545,6775.881325,12303.00652,8664.97999
20140930,111546.8113,10740.9885,12521.982,990.524,30320.1236,89783.6786,76255.1545,6775.881325,12303.00652,8664.97999
20141031,111546.8113,10740.9885,12521.982,990.524,30320.1236,89783.6786,76255.1545,6775.881325,12303.00652,8664.97999
20141128,111546.8113,10740.9885,12521.982,990.524,30320.1236,89783.6786,76255.1545,6775.881325,12303.00652,8664.97999
20141231,111546.8113,10740.9885,12521.982,990.524,30320.1236,89783.6786,76255.1545,6775.881325,12303.00652,8664.97999
20150130,119355.1889,13383.9831,9322.0468,965.729,25553.9752,80082.9709,81394.02,7001.584023,10617.00756,6334.994534
20150227,119355.1889,13383.9831,9322.0468,965.729,25553.9752,80082.9709,81394.02,7001.584023,10617.00756,6334.994534
20150331,119355.1889,13383.9831,9322.0468,965.729,25553.9752,80082.9709,81394.02,7001.584023,10617.00756,6334.994534
20150430,119355.1889,13383.9831,9322.0468,965.729,25553.9752,80082.9709,81394.02,7001.584023,10617.00756,6334.994534
20150529,119355.1889,13383.9831,9322.0468,965.729,25553.9752,80082.9709,81394.02,7001.584023,10617.00756,6334.994534
20150630,119355.1889,13383.9831,9322.0468,965.729,25553.9752,80082.9709,81394.02,7001.584023,10617.00756,6334.994534
20150731,119355.1889,13383.9831,9322.0468,965.729,25553.9752,80082.9709,81394.02,7001.584023,10617.00756,6334.994534
20150831,119355.1889,13383.9831,9322.0468,965.729,25553.9752,80082.9709,81394.02,7001.584023,10617.00756,6334.994534
20150930,119355.1889,13383.9831,9322.0468,965.729,25553.9752,80082.9709,81394.02,7001.584023,10617.00756,6334.994534
20151030,119355.1889,13383.9831,9322.0468,965.729,25553.9752,80082.9709,81394.02,7001.584023,10617.00756,6334.994534
20151130,119355.1889,13383.9831,9322.0468,965.729,25553.9752,80082.9709,81394.02,7001.584023,10617.00756,6334.994534
20151231,119355.1889,13383.9831,9322.0468,965.729,25553.9752,80082.9709,81394.02,7001.584023,10617.00756,6334.994534
20160129,128248.88,19285.0146,6315.9644,945.867,23062.1504,71996.7872,80545.9422,7424.831864,12078.98758,816.9858176
20160229,128248.88,19285.0146,6315.9644,945.867,23062.1504,71996.7872,80545.9422,7424.831864,12078.98758,816.9858176
20160331,128248.88,19285.0146,6315.9644,945.867,23062.1504,71996.7872,80545.9422,7424.831864,12078.98758,816.9858176
20160429,128248.88,19285.0146,6315.9644,945.867,23062.1504,71996.7872,80545.9422,7424.831864,12078.98758,816.9858176
20160531,128248.88,19285.0146,6315.9644,945.867,23062.1504,71996.7872,80545.9422,7424.831864,12078.98758,816.9858176
20160630,128248.88,19285.0146,6315.9644,945.867,23062.1504,71996.7872,80545.9422,7424.831864,12078.98758,816.9858176
20160729,128248.88,19285.0146,6315.9644,945.867,23062.1504,71996.7872,80545.9422,7424.831864,12078.98758,816.9858176
20160831,128248.88,19285.0146,6315.9644,945.867,23062.1504,71996.7872,80545.9422,7424.831864,12078.98758,816.9858176
20160930,128248.88,19285.0146,6315.9644,945.867,23062.1504,71996.7872,80545.9422,7424.831864,12078.98758,816.9858176
20161031,128248.88,19285.0146,6315.9644,945.867,23062.1504,71996.7872,80545.9422,7424.831864,12078.98758,816.9858176
20161130,128248.88,19285.0146,6315.9644,945.867,23062.1504,71996.7872,80545.9422,7424.831864,12078.98758,816.9858176
20161230,128248.88,19285.0146,6315.9644,945.867,23062.1504,71996.7872,80545.9422,7424.831864,12078.98758,816.9858176
20170131,134047.0804,27709,4332.9654,922.179,17072.2015,72394.3068,77798.0664,8459.875523,10777.99673,354.9780234
20170228,134047.0804,27709,4332.9654,922.179,17072.2015,72394.3068,77798.0664,8459.875523,10777.99673,354.9780234
20170331,134047.0804,27709,4332.9654,922.179,17072.2015,72394.3068,77798.0664,8459.875523,10777.99673,354.9780234
20170428,134047.0804,27709,4332.9654,922.179,17072.2015,72394.3068,77798.0664,8459.875523,10777.99673,354.9780234
20170531,134047.0804,27709,4332.9654,922.179,17072.2015,72394.3068,77798.0664,8459.875523,10777.99673,354.9780234
20170630,134047.0804,27709,4332.9654,922.179,17072.2015,72394.3068,77798.0664,8459.875523,10777.99673,354.9780234
20170731,134047.0804,27709,4332.9654,922.179,17072.2015,72394.3068,77798.0664,8459.875523,10777.99673,354.9780234
20170831,134047.0804,27709,4332.9654,922.179,17072.2015,72394.3068,77798.0664,8459.875523,10777.99673,354.9780234
20170929,134047.0804,27709,4332.9654,922.179,17072.2015,72394.3068,77798.0664,8459.875523,10777.99673,354.9780234
20171031,134047.0804,27709,4332.9654,922.179,17072.2015,72394.3068,77798.0664,8459.875523,10777.99673,354.9780234
20171130,134047.0804,27709,4332.9654,922.179,17072.2015,72394.3068,77798.0664,8459.875523,10777.99673,354.9780234
20171229,134047.0804,27709,4332.9654,922.179,17072.2015,72394.3068,77798.0664,8459.875523,10777.99673,354.9780234
20180131,107146.9525,43548.9995,1453.9848,892.479,16981.0916,82718.1396,77869.0368,9362.105508,12799.01868,338.9952052
20180228,107146.9525,43548.9995,1453.9848,892.479,16981.0916,82718.1396,77869.0368,9362.105508,12799.01868,338.9952052
20180329,107146.9525,43548.9995,1453.9848,892.479,16981.0916,82718.1396,77869.0368,9362.105508,12799.01868,338.9952052
20180430,107146.9525,43548.9995,1453.9848,892.479,16981.0916,82718.1396,77869.0368,9362.105508,12799.01868,338.9952052
20180531,107146.9525,43548.9995,1453.9848,892.479,16981.0916,82718.1396,77869.0368,9362.105508,12799.01868,338.9952052
20180629,107146.9525,43548.9995,1453.9848,892.479,16981.0916,82718.1396,77869.0368,9362.105508,12799.01868,338.9952052
20180731,107146.9525,43548.9995,1453.9848,892.479,16981.0916,82718.1396,77869.0368,9362.105508,12799.01868,338.9952052
20180831,107146.9525,43548.9995,1453.9848,892.479,16981.0916,82718.1396,77869.0368,9362.105508,12799.01868,338.9952052
20180928,107146.9525,43548.9995,1453.9848,892.479,16981.0916,82718.1396,77869.0368,9362.105508,12799.01868,338.9952052
20181031,107146.9525,43548.9995,1453.9848,892.479,16981.0916,82718.1396,77869.0368,9362.105508,12799.01868,338.9952052
20181130,107146.9525,43548.9995,1453.9848,892.479,16981.0916,82718.1396,77869.0368,9362.105508,12799.01868,338.9952052
20181231,107146.9525,43548.9995,1453.9848,892.479,16981.0916,82718.1396,77869.0368,9362.105508,12799.01868,338.9952052
